Nisken.no ,Station ,Latitude,Longitude,Bot. Depth.m,Depth,StrainGaugePressure,Conductivity,Salinity,Temperature,PotentialTemp.,Density,Sigmatheta,Oxygen,Oxygen,PAR.Irradiance,ISUS,Nitrate
,102,31.412,-80.871,19.5,7,10.224,56.112999,35.0632,27.8039,27.8023,1022.5364,22.5067,4.7319,104.696,8.25E+01,-4.3355311,0.272170917
,102,31.412,-80.871,19.5,8,11.696,56.086408,35.0725,27.766,27.7642,1022.56,22.5261,4.7397,104.81,7.86E+01,-4.2350919,0.27502339
,102,31.412,-80.871,19.5,9,13.145,55.997058,35.0581,27.7006,27.6986,1022.5747,22.5366,4.7562,105.052,7.58E+01,-3.3554497,0.300005229
,102,31.412,-80.871,19.5,10,14.606,55.862372,35.117,27.4947,27.4923,1022.69,22.6476,4.761,104.836,7.56E+01,-4.4427363,0.269126289
,102,31.412,-80.871,19.5,11,16.069,55.800894,35.1541,27.3867,27.3842,1022.7572,22.7106,4.7759,104.999,7.88E+01,-3.277743,0.302212099
,102,31.412,-80.871,19.5,12,17.527,55.785936,35.1657,27.357,27.3542,1022.7798,22.7289,4.7667,104.753,7.28E+01,-4.0947992,0.279007703
,102,31.412,-80.871,19.5,13,18.984,55.770952,35.1732,27.3326,27.3295,1022.7977,22.7425,4.7569,104.5,6.85E+01,-3.1751952,0.305124456
,102,31.412,-80.871,19.5,14,20.46,55.764286,35.1796,27.3174,27.3141,1022.8117,22.7523,4.7635,104.622,6.78E+01,-4.5161079,0.267042536
,102,31.412,-80.871,19.5,15,21.908,55.757972,35.1832,27.3062,27.3027,1022.8224,22.7587,4.774,104.837,6.27E+01,-3.8357752,0.286363984
,102,31.412,-80.871,19.5,16,23.369,55.750254,35.1912,27.2879,27.2841,1022.8386,22.7707,4.7795,104.932,6.23E+01,-4.6136355,0.264272752
,102,31.412,-80.871,19.5,17,24.83,55.747039,35.1942,27.2805,27.2765,1022.8476,22.7754,4.7564,104.412,6.06E+01,-4.9476013,0.254788123
,102,31.412,-80.871,19.5,18,26.29,55.746104,35.2015,27.2695,27.2653,1022.8609,22.7845,4.7729,104.76,5.51E+01,-4.2436708,0.274779749
,102,31.404,-80.869,19.9,2,2.921,56.935552,35.015,28.6456,28.6451,1022.202,22.1935,4.6447,104.159,9.05E+01,-3.0815381,0.307784318
,102,31.404,-80.869,19.9,3,4.381,56.930254,35.015,28.6402,28.6395,1022.208,22.1953,4.6453,104.163,7.55E+01,-2.9091119,0.312681222
,102,31.404,-80.869,19.9,4,5.842,56.928797,35.0146,28.639,28.638,1022.2125,22.1956,4.6408,104.06,6.51E+01,-4.2629119,0.274233302
,102,31.404,-80.869,19.9,5,7.303,56.887281,35.0164,28.5971,28.5959,1022.232,22.2108,4.6528,104.26,5.63E+01,-2.5610823,0.322565263
,102,31.404,-80.869,19.9,6,8.766,56.701931,34.9724,28.4805,28.4807,1022.2412,22.2158,4.7102,105.322,5.42E+01,-2.7697295,0.316639682
,102,31.404,-80.869,19.9,7,10.22,56.270222,35.0136,28.0202,28.0168,1022.4289,22.3992,4.738,105.169,4.94E+01,-2.9179264,0.31243089
,102,31.404,-80.869,19.9,8,11.686,56.111361,35.0644,27.8005,27.7985,1022.5427,22.5088,4.7179,104.381,4.47E+01,-4.1015913,0.278814807
,102,31.404,-80.869,19.9,9,13.145,56.078179,35.0576,27.7778,27.7758,1022.5492,22.5111,4.7371,104.762,4.31E+01,-3.3908042,0.299001161
,102,31.404,-80.869,19.9,10,14.601,56.006622,35.0499,27.719,27.7174,1022.5666,22.5242,4.7407,104.737,4.04E+01,-2.4366937,0.326097899
,102,31.404,-80.869,19.9,11,16.066,55.900807,35.1301,27.5135,27.5108,1022.6982,22.6516,4.7585,104.821,3.65E+01,-3.1290762,0.306434236
,102,31.404,-80.869,19.9,12,17.526,55.825776,35.183,27.372,27.3688,1022.7881,22.7372,4.7622,104.69,3.41E+01,-3.3675064,0.299662818
,102,31.404,-80.869,19.9,13,18.991,55.805561,35.2001,27.3293,27.3265,1022.8189,22.7638,4.7444,104.236,3.27E+01,-2.5022996,0.324234691
,102,31.404,-80.869,19.9,14,20.473,55.792052,35.2115,27.3009,27.2978,1022.841,22.7816,4.7289,103.855,2.78E+01,-2.8502275,0.314353539
,102,31.404,-80.869,19.9,15,21.907,55.791322,35.2153,27.2951,27.2916,1022.8501,22.7864,4.75,104.308,2.53E+01,-2.3311726,0.329094698
,102,31.404,-80.869,19.9,16,23.37,55.790644,35.2172,27.2916,27.2879,1022.8569,22.789,4.748,104.261,2.20E+01,-2.889107,0.313249361
,102,31.404,-80.869,19.9,17,24.829,55.789586,35.2183,27.2887,27.2847,1022.8631,22.7909,4.7392,104.063,1.95E+01,-3.7796035,0.287959261
,102,31.404,-80.869,19.9,18,26.297,55.790944,35.2184,27.2894,27.2852,1022.8672,22.7908,4.734,103.949,1.73E+01,-2.613355,0.321080718
,102,31.404,-80.869,19.9,19,27.748,55.797965,35.2236,27.2886,27.2842,1022.8757,22.795,4.7482,104.264,1.54E+01,-4.2239194,0.275340689
7,103,31.38,-80.615,24.7,2,2.92,56.159919,35.2616,27.5857,27.5852,1022.7349,22.7265,4.5485,100.389,2.03E+02,-2.8520899,0.314300647
,103,31.38,-80.615,24.7,3,4.385,56.15998,35.2593,27.5883,27.5876,1022.7367,22.724,4.5749,100.974,1.54E+02,-2.022488,0.337861341
,103,31.38,-80.615,24.7,4,5.852,56.154241,35.2603,27.5811,27.5802,1022.7441,22.7271,4.5723,100.906,1.32E+02,-2.4017026,0.327091646
6,103,31.38,-80.615,24.7,5,7.303,56.154172,35.2601,27.581,27.5798,1022.7483,22.7271,4.5691,100.836,1.09E+02,-2.2239098,0.332140962
,103,31.38,-80.615,24.7,6,8.763,56.152293,35.2617,27.5765,27.5752,1022.7553,22.7298,4.5575,100.574,9.69E+01,-2.4542601,0.325599013
,103,31.38,-80.615,24.7,7,10.223,56.151581,35.2642,27.5724,27.5706,1022.7629,22.7332,4.527,99.893,8.17E+01,-2.7572657,0.316993654
,103,31.38,-80.615,24.7,8,11.684,56.150818,35.2654,27.5696,27.5678,1022.7689,22.735,4.5435,100.256,7.37E+01,-1.1742002,0.361952714
5,103,31.38,-80.615,24.7,9,13.146,56.145483,35.2708,27.557,27.5549,1022.7814,22.7432,4.5642,100.694,6.49E+01,-2.0340906,0.337531827
,103,31.38,-80.615,24.7,10,14.592,56.113793,35.2871,27.5049,27.5027,1022.8148,22.7724,4.5786,100.935,6.71E+01,-2.2639031,0.331005152
,103,31.38,-80.615,24.7,11,16.066,56.094641,35.3258,27.4356,27.4331,1022.8707,22.824,4.5692,100.634,5.72E+01,-1.6803254,0.347578759
4,103,31.38,-80.615,24.7,12,17.526,56.072107,35.3652,27.362,27.3592,1022.9285,22.8775,4.5911,101.016,5.73E+01,-1.9841827,0.338949211
,103,31.38,-80.615,24.7,13,18.987,55.992643,35.4635,27.1581,27.1547,1023.0726,23.0173,4.6094,101.134,5.51E+01,-2.2445909,0.331553618
,103,31.38,-80.615,24.7,14,20.459,55.970091,35.5019,27.0856,27.0827,1023.1288,23.0694,4.6466,101.851,5.35E+01,-1.861008,0.342447373
3,103,31.38,-80.615,24.7,15,21.909,55.914307,35.5657,26.9502,26.9466,1023.2247,23.161,4.6278,101.248,5.43E+01,-1.7220355,0.346394192
,103,31.38,-80.615,24.7,16,23.374,55.830183,35.6648,26.7425,26.7385,1023.37,23.302,4.6449,101.328,5.51E+01,-1.3442027,0.357124643
,103,31.38,-80.615,24.7,17,24.822,55.833957,35.6701,26.7383,26.7344,1023.3796,23.3074,4.6278,100.952,5.10E+01,-1.9524402,0.339850698
,103,31.38,-80.615,24.7,18,26.292,55.832593,35.6725,26.7336,26.7294,1023.3872,23.3107,4.6157,100.682,4.77E+01,-2.362223,0.328212867
2,103,31.38,-80.615,24.7,19,27.756,55.831974,35.674,26.7306,26.7263,1023.3937,23.3129,4.6171,100.709,4.90E+01,-2.2097956,0.332541805
,103,31.38,-80.615,24.7,20,29.214,55.831102,35.6748,26.7283,26.7237,1023.3993,23.3143,4.6347,101.089,3.29E+01,-1.8406009,0.343026934
,103,31.38,-80.615,24.7,21,30.671,55.831952,35.6754,26.7279,26.7231,1023.4042,23.315,4.6251,100.879,2.91E+01,-1.8643403,0.342352735
,103,31.38,-80.615,24.7,22,32.129,55.83279,35.6755,26.7282,26.7232,1023.4085,23.315,4.6329,101.05,2.64E+01,-1.0951232,0.364198501
1,103,31.38,-80.615,24.7,23,33.593,55.833573,35.6745,26.7298,26.7245,1023.4116,23.3138,4.6299,100.985,2.21E+01,-1.9293152,0.340507448
,103,31.38,-80.615,24.7,24,35.053,55.837356,35.6769,26.7298,26.7243,1023.4177,23.3157,4.6362,101.125,1.89E+01,-2.4651616,0.325289411
,103,31.382,-80.615,25.1,2,2.921,56.379902,35.2423,27.8179,27.8174,1022.6449,22.6365,4.5427,100.632,1.39E+03,-1.5818032,0.350376789
,103,31.382,-80.615,25.1,3,4.381,56.363414,35.2366,27.8095,27.8089,1022.6477,22.6349,4.5506,100.791,1.18E+03,-2.4170518,0.326655729
,103,31.382,-80.615,25.1,4,5.843,56.316251,35.2382,27.7627,27.7616,1022.6685,22.6516,4.5049,99.703,1.09E+03,-0.8376184,0.371511637
,103,31.382,-80.615,25.1,5,7.303,56.350848,35.2413,27.7906,27.7895,1022.666,22.6448,4.5335,100.384,6.17E+02,-1.5543835,0.351155509
,103,31.382,-80.615,25.1,6,8.759,56.245775,35.2344,27.701,27.6992,1022.6944,22.669,4.5669,100.971,2.74E+02,-1.7386868,0.345921295
,103,31.382,-80.615,25.1,7,10.226,56.215656,35.2394,27.6654,27.6639,1022.7139,22.6842,4.5266,100.024,2.08E+02,-1.7982508,0.344229677
,103,31.382,-80.615,25.1,8,11.684,56.198856,35.2448,27.6421,27.6402,1022.7299,22.696,4.5576,100.674,1.37E+02,-1.2146772,0.360803168
,103,31.382,-80.615,25.1,9,13.148,56.174944,35.2674,27.5892,27.5873,1022.7683,22.7301,4.5365,100.133,1.21E+02,-1.6285487,0.349049217
,103,31.382,-80.615,25.1,10,14.602,56.162863,35.2947,27.5416,27.5388,1022.8088,22.7664,4.5697,100.802,1.08E+02,-1.2541152,0.359683128
,103,31.382,-80.615,25.1,11,16.068,56.144373,35.3246,27.4837,27.4813,1022.8542,22.8075,4.5701,100.734,1.01E+02,-0.6092848,0.377996312
,103,31.382,-80.615,25.1,12,17.526,56.137465,35.3381,27.4591,27.4563,1022.8767,22.8258,4.5737,100.78,1.03E+02,-1.1870438,0.361587956
,103,31.382,-80.615,25.1,13,18.99,56.069271,35.4095,27.3006,27.2976,1022.9859,22.9307,4.5927,100.975,1.18E+02,-1.0966391,0.36415545
,103,31.382,-80.615,25.1,14,20.444,56.054573,35.4315,27.2578,27.2542,1023.0207,22.9613,4.6036,101.154,9.93E+01,-1.5711773,0.350678565
,103,31.382,-80.615,25.1,15,21.908,55.991422,35.503,27.1042,27.1007,1023.1281,23.0644,4.6148,101.185,1.15E+02,-0.9781144,0.367521551
,103,31.382,-80.615,25.1,16,23.366,55.824755,35.691,26.7032,26.6994,1023.4022,23.3342,4.6347,101.054,1.38E+02,-1.1577999,0.362418483
,103,31.382,-80.615,25.1,17,24.829,55.814542,35.7089,26.6699,26.666,1023.4306,23.3584,4.6298,100.904,1.24E+02,-0.1955163,0.389747337
,103,31.382,-80.615,25.1,18,26.29,55.812828,35.7124,26.6635,26.6594,1023.4396,23.3631,4.6329,100.962,1.12E+02,-1.5775384,0.350497909
,103,31.382,-80.615,25.1,19,27.75,55.813165,35.7133,26.6621,26.6578,1023.4451,23.3643,4.6349,101.004,9.61E+01,-0.9701108,0.367748853
,103,31.382,-80.615,25.1,20,29.211,55.810623,35.7173,26.6542,26.6496,1023.4549,23.3699,4.5814,99.827,8.82E+01,0.1983507,0.40093316
,103,31.382,-80.615,25.1,21,30.671,55.811677,35.7178,26.6542,26.6494,1023.4596,23.3703,4.6279,100.84,8.37E+01,-1.6287489,0.349043531
,103,31.382,-80.615,25.1,22,32.132,55.811259,35.7185,26.6524,26.6474,1023.4651,23.3716,4.6355,101.004,7.80E+01,-0.9764034,0.367570143
,103,31.382,-80.615,25.1,23,33.598,55.811448,35.7195,26.6508,26.6456,1023.4706,23.3729,4.6167,100.591,7.03E+01,-1.1154693,0.363620672
,103,31.382,-80.615,25.1,24,35.061,55.808982,35.7178,26.6503,26.6448,1023.4738,23.3718,4.6397,101.091,6.18E+01,-0.6955801,0.375545525
,103,31.382,-80.615,25.1,25,36.513,55.816241,35.7215,26.652,26.6462,1023.4804,23.3741,4.6444,101.198,6.24E+01,-0.5874098,0.378617562
,104,31.36,-80.366,39,2,2.924,56.872652,35.0657,28.5171,28.5172,1022.2824,22.274,4.4432,99.461,9.15E+02,-1.03175,0.3659983
,104,31.36,-80.366,39,3,4.38,56.851192,35.0577,28.5077,28.5072,1022.284,22.2712,4.4535,99.672,1.69E+03,-1.0736765,0.364807587
,104,31.36,-80.366,39,4,5.838,56.795151,35.0521,28.4627,28.4618,1022.299,22.2821,4.4561,99.653,1.39E+03,-0.9221776,0.369110156
,104,31.36,-80.366,39,5,7.307,56.714894,35.0464,28.3945,28.3932,1022.3216,22.3004,4.4615,99.66,1.14E+03,-0.2252142,0.388903917
,104,31.36,-80.366,39,6,8.76,56.653278,35.0527,28.3273,28.3257,1022.3528,22.3274,4.4415,99.108,1.10E+03,-0.405476,0.383784482
,104,31.36,-80.366,39,7,10.226,56.596104,35.0449,28.2842,28.2825,1022.3654,22.3358,4.4623,99.5,9.92E+02,-0.3585953,0.385115893
,104,31.36,-80.366,39,8,11.685,56.525456,35.0408,28.2229,28.2215,1022.3866,22.3527,4.4394,98.887,1.05E+03,-1.5492658,0.351300851
,104,31.36,-80.366,39,9,13.141,56.394553,35.0709,28.0576,28.0555,1022.4679,22.4298,4.4652,99.21,7.32E+02,-1.2829242,0.358864953
,104,31.36,-80.366,39,10,14.608,56.287865,35.0946,27.9252,27.9234,1022.5332,22.4908,4.4427,98.511,6.80E+02,-1.4340739,0.354572301
,104,31.36,-80.366,39,11,16.06,56.14316,35.0887,27.7901,27.7932,1022.5755,22.5288,4.4878,99.295,6.18E+02,-2.0476785,0.337145931
,104,31.36,-80.366,39,12,17.526,55.993964,35.2261,27.4785,27.4713,1022.7875,22.7366,4.5485,100.185,5.69E+02,-0.5390036,0.379992298
,104,31.36,-80.366,39,13,18.991,55.658226,35.2601,27.1137,27.1119,1022.9327,22.8775,4.4949,98.439,5.08E+02,-0.4293638,0.383106068
,104,31.36,-80.366,39,14,20.447,55.132831,35.5833,26.1901,26.1884,1023.4737,23.4141,4.5127,97.499,4.43E+02,-1.8025932,0.344106353
,104,31.36,-80.366,39,15,21.905,54.984531,35.8674,25.6927,25.689,1023.8488,23.7848,4.558,97.817,4.29E+02,-1.5778965,0.350487739
,104,31.36,-80.366,39,16,23.375,54.976899,35.8695,25.6823,25.6788,1023.8578,23.7896,4.5717,98.095,4.02E+02,-2.4843259,0.324745144
,104,31.36,-80.366,39,17,24.82,54.996829,35.9146,25.6444,25.6407,1023.908,23.8355,4.5738,98.102,3.59E+02,-2.8507872,0.314337644
,104,31.36,-80.366,39,18,26.294,55.049622,35.9846,25.6034,25.5992,1023.9779,23.9012,4.5747,98.092,3.49E+02,-2.207457,0.332608221
,104,31.36,-80.366,39,19,27.748,55.085976,36.0269,25.5836,25.5793,1024.0204,23.9394,4.5653,97.882,3.03E+02,-1.9514592,0.339878559
,104,31.36,-80.366,39,20,29.195,55.094598,36.0373,25.5782,25.5736,1024.0342,23.949,4.5639,97.848,3.24E+02,-2.146599,0.334336588
,104,31.36,-80.366,39,21,30.671,55.100104,36.0423,25.5764,25.5717,1024.0428,23.9533,4.5642,97.855,2.80E+02,-1.3083849,0.358141869
,104,31.36,-80.366,39,22,32.139,55.107048,36.0495,25.5734,25.5684,1024.0536,23.9598,4.5732,98.047,2.44E+02,-0.3862574,0.38433029
,104,31.36,-80.366,39,23,33.593,55.107829,36.05,25.5731,25.568,1024.0583,23.9603,4.5779,98.149,2.32E+02,-1.220133,0.360648223
,104,31.36,-80.366,39,24,35.052,55.111436,36.0531,25.5721,25.5668,1024.0653,23.963,4.5647,97.866,2.08E+02,-0.6783421,0.376035084
,104,31.36,-80.366,39,25,36.515,55.112701,36.0539,25.5718,25.5663,1024.0704,23.9638,4.5622,97.812,1.94E+02,-0.7786354,0.373186755
,104,31.36,-80.366,39,26,37.974,55.114695,36.0553,25.5715,25.5658,1024.0758,23.965,4.5705,97.991,1.79E+02,-1.6181865,0.349343503
,104,31.36,-80.366,39,27,39.432,55.116986,36.0572,25.5708,25.5648,1024.0819,23.9667,4.5747,98.08,1.67E+02,-2.7442477,0.317363365
,104,31.36,-80.366,39,28,40.9,55.117403,36.057,25.5711,25.5649,1024.0859,23.9666,4.5711,98.003,1.58E+02,-2.3573384,0.328351589
,104,31.36,-80.366,39,29,42.357,55.119165,36.058,25.571,25.5646,1024.091,23.9674,4.5731,98.046,1.38E+02,-0.8375481,0.371513634
,104,31.36,-80.366,39,30,43.82,55.1196,36.0579,25.5711,25.5645,1024.0952,23.9674,4.5813,98.221,1.33E+02,-1.4667332,0.353644777
,104,31.36,-80.366,39,31,45.264,55.119266,36.057,25.5716,25.5647,1024.0987,23.9666,4.5715,98.012,1.24E+02,-2.3655793,0.328117548
,104,31.36,-80.366,39,32,46.742,55.119049,36.0558,25.5725,25.5654,1024.1019,23.9655,4.5404,97.347,1.12E+02,-1.2929947,0.358578951
,104,31.36,-80.366,39,33,48.197,55.122096,36.0582,25.5719,25.5645,1024.1083,23.9676,4.5446,97.437,9.97E+01,-1.3044483,0.358253668
,104,31.36,-80.366,39,34,49.66,55.123065,36.0584,25.5722,25.5646,1024.1126,23.9677,4.5627,97.826,9.38E+01,-0.6687019,0.376308866
,104,31.36,-80.366,39,35,51.122,55.122809,36.0575,25.5726,25.5648,1024.1161,23.967,4.5576,97.716,8.48E+01,-0.8371298,0.371525514
,104,31.36,-80.366,39,36,52.582,55.123197,36.0572,25.573,25.565,1024.1201,23.9667,4.5517,97.59,7.93E+01,-1.2881643,0.358716134
,104,31.36,-80.366,39,37,54.048,55.125501,36.0572,25.5747,25.5665,1024.1239,23.9662,4.5772,98.141,8.16E+01,-1.8815944,0.341862719
,104,31.36,-80.366,39,38,55.5,55.1306,36.0579,25.5781,25.5696,1024.1277,23.9658,4.5733,98.061,6.44E+01,-0.2790559,0.387374812
,105,31.339,-80.112,43.5,2,2.922,57.289233,35.1581,28.7836,28.7831,1022.2636,22.2552,4.4391,99.85,1.73E+03,-1.7142752,0.346614584
,105,31.339,-80.112,43.5,3,4.384,57.238784,35.1386,28.7621,28.7615,1022.2604,22.2477,4.458,100.23,1.63E+03,-2.3330618,0.329041045
,105,31.339,-80.112,43.5,4,5.842,57.215158,35.1335,28.7461,28.7459,1022.266,22.2491,4.4408,99.817,1.18E+03,-2.4578014,0.32549844
,105,31.339,-80.112,43.5,5,7.306,56.991781,35.1266,28.5467,28.5448,1022.3317,22.3105,4.4332,99.315,1.12E+03,-2.6749179,0.319332332
,105,31.339,-80.112,43.5,6,8.764,56.821448,35.1554,28.347,28.3457,1022.4234,22.398,4.4641,99.702,1.06E+03,-1.5585986,0.3510358
,105,31.339,-80.112,43.5,7,10.219,56.740684,35.1658,28.257,28.2549,1022.4654,22.4357,4.4493,99.231,9.54E+02,-1.8883368,0.341671235
,105,31.339,-80.112,43.5,8,11.683,56.689839,35.1613,28.2145,28.2129,1022.48,22.4461,4.4564,99.32,8.73E+02,-1.6979977,0.347076865
,105,31.339,-80.112,43.5,9,13.145,56.643583,35.1606,28.1721,28.1696,1022.498,22.4599,4.4517,99.144,7.59E+02,-1.342861,0.357162748
,105,31.339,-80.112,43.5,10,14.605,56.629926,35.1593,28.1603,28.158,1022.5051,22.4627,4.4446,98.966,6.45E+02,-2.8772512,0.313586066
,105,31.339,-80.112,43.5,11,16.069,56.624522,35.1594,28.1547,28.1521,1022.5113,22.4647,4.4683,99.486,6.59E+02,-1.6861706,0.347412755
,105,31.339,-80.112,43.5,12,17.526,56.617124,35.1543,28.1544,28.1515,1022.5119,22.4611,4.4598,99.294,6.05E+02,-1.8725507,0.34211956
,105,31.339,-80.112,43.5,13,18.99,56.486052,35.1396,28.0486,28.0472,1022.5393,22.4842,4.4917,99.824,5.75E+02,-2.1788937,0.333419419
,105,31.339,-80.112,43.5,14,20.441,56.373005,35.1901,27.8715,27.8705,1022.6392,22.5799,4.6022,102.014,4.93E+02,-2.0090982,0.338241611
,105,31.339,-80.112,43.5,15,21.91,55.960366,35.3891,27.227,27.2252,1023.0011,22.9375,4.7004,103.204,4.92E+02,-1.3505753,0.356943661
,105,31.339,-80.112,43.5,16,23.37,55.199376,35.7909,25.9983,25.987,1023.7014,23.6333,4.7428,102.244,4.68E+02,-1.4850819,0.353123674
,105,31.339,-80.112,43.5,17,24.824,54.981135,36.209,25.2594,25.2538,1024.25,24.1774,4.7943,102.336,3.95E+02,-0.7433811,0.374187977
,105,31.339,-80.112,43.5,18,26.292,54.954038,36.2647,25.1633,25.1589,1024.3255,24.2487,4.7906,102.124,4.18E+02,-1.48251,0.353196716
,105,31.339,-80.112,43.5,19,27.751,54.948709,36.2735,25.1465,25.1423,1024.3415,24.2605,4.7812,101.9,3.53E+02,-0.975459,0.367596964
