Station,Nisken.no,HPLCSet.no,VialName,Extraction.Date,Vol.Filtered.L,Chl.c3.Amount,Chl.ide.Amount,MgDVP.Amount,Chl.c2.Amount,Chl.c1.Amount,Peridinin.Amount,19.but.Amount,Fuco.Amount,19.Hex.like.keto.Amount,Neo.Amount,Prasino.Amount,Viola.Amount,19.Hex.Amount,DD.Amount,cis.fuco.Amount,Allo.Amount,Diato.Amount,Monad.Amount,Zeax.Amount,Lutein.Amount,8.Apo.Amount,Croco.Amount,Chl.b.Amount,Chl.C2.like.MGDG.Amount,Chl.a.like 1.Amount,DVChlaAmount,ChlAmount,Ph.tin.Amount,a.Car.Amount,b.Car.Amount
105,5,5,16,42207,4.23,18.319,13.544,11.154,19.301,0,1.309,8.004,12.066,0,2.222,0,2.758,52.75,15.524,0,0,0,0,122.426,0,4.996,2.205,15.755,3.685,4.641,55.016,174.764,13.841,4.626,7.082
105,6,5,17,42207,3.53,10.269,9.507,9.176,13.302,0,1.217,3.596,9.164,0,2.077,0,3.212,34.863,18.717,0,0,5.773,0,117.73,0,5.55,1.88,11.001,2.499,3.31,29.065,176.203,12.762,5.774,4.394
105,7,5,20,42207,2.65,9.844,0,0,10.391,0,0,0,2.904,0,0,0,2.771,22.702,16.598,0,0,7.15,0,119.548,0,6.76,0,8.127,2.516,2.603,23.323,196.561,21.929,7.185,3.866
106,1,3,8,42201,4.65,27.468,5.014,10.539,25.779,0,2.813,13.949,19.383,0,2.146,2.473,1.624,58.442,9.042,0,1.269,0,0,75.153,1.546,4.419,2.11,28.727,1.445,9.089,92.722,180.279,16.23,15.142,4.994
106,2,3,9,42201,4.65,11.456,6.86,7.059,13.099,0,1.466,4.489,9.308,0,1.307,0,1.401,29.536,7.26,0,0,0,0,78.341,0,4.659,2.603,12.384,1.593,4.412,63.497,112.266,11.096,12.095,5.121
106,3,3,5,42201,4.65,12.367,4.794,7.509,12.724,0,1.107,3.447,6.454,0,0,0,1.316,26.579,6.652,0,0,0,0,87.226,0,5.132,2.047,11.355,0,2.785,65.55,88.288,10.047,12.256,4.427
106,4,3,10,42201,4.65,8.915,12.988,8.132,13.289,0,1.239,4.925,6.794,0,1.731,0,1.431,32.316,8.288,0,0,0,0,105.746,0,5.82,3.252,12.96,2.289,7.319,77.036,125.151,11.774,14.494,7.746
106,5,3,11,42201,4.65,8.779,0,5.685,10.351,0,0.83,2.744,3.826,0,0,0,1.321,24.338,6.567,0,0,0,0,80.567,0,4.838,2.335,9.399,1.611,7.867,56.249,87.576,10.507,11.527,4.112
106,6,3,6,42201,4.4,9.045,0,6.45,10.594,0,1.009,3.152,3.701,0,0,0,1.381,25.336,6.17,0,0,0,0,97.798,0,5.141,2.831,10.429,0,0,65.996,82.703,9.072,13.638,4.048
106,7,3,7,42201,4.51,9.282,8.939,7.903,11.061,0,0.987,3.637,4.559,0,1.584,0,1.413,27.474,7.423,0,0,0,0,111.824,0,5.012,1.96,11.15,1.247,4.04,68.67,117.04,11.597,13.642,7.128
